amount,result,source,target,timestamp
100.00,195.43,EUR,BGN,2025-05-27 23:28:18
200.00,238.41,GBP,EUR,2025-05-27 23:28:36
300.00,698.89,GBP,BGN,2025-05-27 23:28:47
255.00,1188471.80,EUR,COP,2025-05-27 23:29:18
170.00,126.93,BGN,BND,2025-05-27 23:29:58
1220.00,7.92,ETB,EUR,2025-05-27 23:30:22
640.00,864.28,GBP,USD,2025-05-27 23:30:50
5000.00,2898.39,BGN,USD,2025-05-27 23:32:13
40000.00,23187.12,BGN,USD,2025-05-27 23:32:36
13000.00,11475.16,USD,EUR,2025-05-27 23:32:57
100.00,47.97,BGN,CHF,2025-05-27 23:36:26
540.00,576.04,CHF,EUR,2025-05-27 23:36:39
1240.00,1109.66,CHF,GBP,2025-05-27 23:36:52
942.50,1625.90,USD,BGN,2025-05-27 23:37:38
1929.59,987.34,BGN,EUR,2025-05-27 23:37:55
3390.00,36969.87,EUR,SEK,2025-05-27 23:41:56
390.00,1.16,XOF,BGN,2025-05-27 23:42:15
580.00,7.57,DZD,BGN,2025-05-27 23:42:32
1580.00,16.13,ALL,EUR,2025-05-27 23:42:43
15.50,121.33,EUR,BOB,2025-05-27 23:42:58